"word.subject","word.plot_names","word.question_type","word.score","word.sentiment_score"
7,"exp_fall_convex","meaningfulness",64,-0.403571428571429
7,"exp_rise_concave","meaningfulness",86,0.461904761904762
7,"exp_fall_concave","meaningfulness",6,-0.157142857142857
7,"sin_fr_full","meaningfulness",37,0.0531746031746032
7,"sin_fr_partial","meaningfulness",18,0.293650793650794
7,"sin_rf_full","meaningfulness",69,0.0293650793650794
7,"sin_rf_partial","meaningfulness",64,-0.201190476190476
7,"sin_rfr_full","meaningfulness",36,-0.0690476190476191
7,"sin_rfr_partial","meaningfulness",71,-0.0702380952380952
7,"sin_frf_full","meaningfulness",51,-0.231349206349206
7,"sin_frf_partial","meaningfulness",93,-0.0992063492063492
7,"sin_frfr","meaningfulness",74,-0.185714285714286
7,"sin_rfrf","meaningfulness",56,-0.284126984126984
7,"logistic_rise","meaningfulness",47,0.266666666666667
7,"logistic_fall","meaningfulness",19,-0.434920634920635
7,"positive_change_full","meaningfulness",54,-0.00714285714285714
7,"positive_change_partial","meaningfulness",36,-0.134920634920635
7,"negative_change_full","meaningfulness",51,-0.142063492063492
7,"negative_change_partial","meaningfulness",87,0.136904761904762
7,"linear_rise_sharp_fall","meaningfulness",14,-0.480952380952381
7,"linear_rise_sharp_fall_exp_rise","meaningfulness",86,0.0353174603174603
8,"linear_rise","meaningfulness",62,0.398809523809524
8,"linear_fall","meaningfulness",38,-0.411111111111111
8,"linear_low","meaningfulness",0,-0.582142857142857
8,"linear_middle","meaningfulness",28,0.0607142857142857
8,"linear_high","meaningfulness",100,0.487698412698413
8,"exp_rise_convex","meaningfulness",49,0.178174603174603
8,"exp_fall_convex","meaningfulness",43,-0.403571428571429
8,"exp_rise_concave","meaningfulness",82,0.461904761904762
8,"exp_fall_concave","meaningfulness",59,-0.157142857142857
8,"sin_fr_full","meaningfulness",66,0.0531746031746032
8,"sin_fr_partial","meaningfulness",70,0.293650793650794
8,"sin_rf_full","meaningfulness",56,0.0293650793650794
8,"sin_rf_partial","meaningfulness",49,-0.201190476190476
8,"sin_rfr_full","meaningfulness",72,-0.0690476190476191
8,"sin_rfr_partial","meaningfulness",47,-0.0702380952380952
8,"sin_frf_full","meaningfulness",48,-0.231349206349206
8,"sin_frf_partial","meaningfulness",67,-0.0992063492063492
8,"sin_frfr","meaningfulness",86,-0.185714285714286
8,"sin_rfrf","meaningfulness",56,-0.284126984126984
8,"logistic_rise","meaningfulness",55,0.266666666666667
8,"logistic_fall","meaningfulness",55,-0.434920634920635
8,"positive_change_full","meaningfulness",40,-0.00714285714285714
8,"positive_change_partial","meaningfulness",63,-0.134920634920635
8,"negative_change_full","meaningfulness",63,-0.142063492063492
8,"negative_change_partial","meaningfulness",61,0.136904761904762
8,"linear_rise_sharp_fall","meaningfulness",11,-0.480952380952381
8,"linear_rise_sharp_fall_exp_rise","meaningfulness",86,0.0353174603174603
9,"linear_rise","meaningfulness",50,0.398809523809524
9,"linear_fall","meaningfulness",72,-0.411111111111111
9,"linear_low","meaningfulness",3,-0.582142857142857
9,"linear_middle","meaningfulness",79,0.0607142857142857
9,"linear_high","meaningfulness",100,0.487698412698413
9,"exp_rise_convex","meaningfulness",93,0.178174603174603
9,"exp_fall_convex","meaningfulness",36,-0.403571428571429
9,"exp_rise_concave","meaningfulness",92,0.461904761904762
9,"exp_fall_concave","meaningfulness",79,-0.157142857142857
9,"sin_fr_full","meaningfulness",67,0.0531746031746032
9,"sin_fr_partial","meaningfulness",70,0.293650793650794
9,"sin_rf_full","meaningfulness",83,0.0293650793650794
9,"sin_rf_partial","meaningfulness",84,-0.201190476190476
9,"sin_rfr_full","meaningfulness",52,-0.0690476190476191
9,"sin_rfr_partial","meaningfulness",42,-0.0702380952380952
9,"sin_frf_full","meaningfulness",68,-0.231349206349206
9,"sin_frf_partial","meaningfulness",75,-0.0992063492063492
9,"sin_frfr","meaningfulness",65,-0.185714285714286
9,"sin_rfrf","meaningfulness",66,-0.284126984126984
9,"logistic_rise","meaningfulness",82,0.266666666666667
9,"logistic_fall","meaningfulness",69,-0.434920634920635
9,"positive_change_full","meaningfulness",63,-0.00714285714285714
9,"positive_change_partial","meaningfulness",82,-0.134920634920635
9,"negative_change_full","meaningfulness",82,-0.142063492063492
9,"negative_change_partial","meaningfulness",77,0.136904761904762
9,"linear_rise_sharp_fall","meaningfulness",63,-0.480952380952381
9,"linear_rise_sharp_fall_exp_rise","meaningfulness",65,0.0353174603174603
10,"linear_rise","meaningfulness",72,0.398809523809524
10,"linear_fall","meaningfulness",26,-0.411111111111111
10,"linear_low","meaningfulness",4,-0.582142857142857
10,"linear_middle","meaningfulness",51,0.0607142857142857
10,"linear_high","meaningfulness",93,0.487698412698413
10,"exp_rise_convex","meaningfulness",43,0.178174603174603
10,"exp_fall_convex","meaningfulness",11,-0.403571428571429
10,"exp_rise_concave","meaningfulness",91,0.461904761904762
10,"exp_fall_concave","meaningfulness",55,-0.157142857142857
10,"sin_fr_full","meaningfulness",55,0.0531746031746032
10,"sin_fr_partial","meaningfulness",70,0.293650793650794
10,"sin_rf_full","meaningfulness",53,0.0293650793650794
10,"sin_rf_partial","meaningfulness",46,-0.201190476190476
10,"sin_rfr_full","meaningfulness",58,-0.0690476190476191
10,"sin_rfr_partial","meaningfulness",38,-0.0702380952380952
10,"sin_frf_full","meaningfulness",56,-0.231349206349206
10,"sin_frf_partial","meaningfulness",52,-0.0992063492063492
10,"sin_frfr","meaningfulness",38,-0.185714285714286
10,"sin_rfrf","meaningfulness",58,-0.284126984126984
10,"logistic_rise","meaningfulness",55,0.266666666666667
10,"logistic_fall","meaningfulness",19,-0.434920634920635
10,"positive_change_full","meaningfulness",44,-0.00714285714285714
10,"positive_change_partial","meaningfulness",41,-0.134920634920635
10,"negative_change_full","meaningfulness",57,-0.142063492063492
10,"negative_change_partial","meaningfulness",61,0.136904761904762
10,"linear_rise_sharp_fall","meaningfulness",9,-0.480952380952381
10,"linear_rise_sharp_fall_exp_rise","meaningfulness",36,0.0353174603174603
11,"linear_rise","meaningfulness",89,0.398809523809524
11,"linear_fall","meaningfulness",2,-0.411111111111111
11,"linear_low","meaningfulness",1,-0.582142857142857
11,"linear_middle","meaningfulness",18,0.0607142857142857
11,"linear_high","meaningfulness",67,0.487698412698413
11,"exp_rise_convex","meaningfulness",36,0.178174603174603
11,"exp_fall_convex","meaningfulness",51,-0.403571428571429
11,"exp_rise_concave","meaningfulness",68,0.461904761904762
11,"exp_fall_concave","meaningfulness",52,-0.157142857142857
11,"sin_fr_full","meaningfulness",20,0.0531746031746032
11,"sin_fr_partial","meaningfulness",77,0.293650793650794
11,"sin_rf_full","meaningfulness",62,0.0293650793650794
11,"sin_rf_partial","meaningfulness",49,-0.201190476190476
11,"sin_rfr_full","meaningfulness",64,-0.0690476190476191
11,"sin_rfr_partial","meaningfulness",47,-0.0702380952380952
11,"sin_frf_full","meaningfulness",90,-0.231349206349206
11,"sin_frf_partial","meaningfulness",51,-0.0992063492063492
11,"sin_frfr","meaningfulness",55,-0.185714285714286
11,"sin_rfrf","meaningfulness",56,-0.284126984126984
11,"logistic_rise","meaningfulness",63,0.266666666666667
11,"logistic_fall","meaningfulness",27,-0.434920634920635
11,"positive_change_full","meaningfulness",49,-0.00714285714285714
11,"positive_change_partial","meaningfulness",19,-0.134920634920635
11,"negative_change_full","meaningfulness",48,-0.142063492063492
11,"negative_change_partial","meaningfulness",62,0.136904761904762
11,"linear_rise_sharp_fall","meaningfulness",5,-0.480952380952381
11,"linear_rise_sharp_fall_exp_rise","meaningfulness",79,0.0353174603174603
12,"linear_rise","meaningfulness",50,0.398809523809524
12,"linear_fall","meaningfulness",70,-0.411111111111111
12,"linear_low","meaningfulness",5,-0.582142857142857
12,"linear_middle","meaningfulness",2,0.0607142857142857
12,"linear_high","meaningfulness",70,0.487698412698413
12,"exp_rise_convex","meaningfulness",80,0.178174603174603
12,"exp_fall_convex","meaningfulness",70,-0.403571428571429
12,"exp_rise_concave","meaningfulness",60,0.461904761904762
12,"exp_fall_concave","meaningfulness",80,-0.157142857142857
12,"sin_fr_full","meaningfulness",71,0.0531746031746032
12,"sin_fr_partial","meaningfulness",50,0.293650793650794
12,"sin_rf_full","meaningfulness",40,0.0293650793650794
12,"sin_rf_partial","meaningfulness",47,-0.201190476190476
12,"sin_rfr_full","meaningfulness",91,-0.0690476190476191
12,"sin_rfr_partial","meaningfulness",85,-0.0702380952380952
12,"sin_frf_full","meaningfulness",60,-0.231349206349206
12,"sin_frf_partial","meaningfulness",78,-0.0992063492063492
12,"sin_frfr","meaningfulness",80,-0.185714285714286
12,"sin_rfrf","meaningfulness",60,-0.284126984126984
12,"logistic_rise","meaningfulness",63,0.266666666666667
12,"logistic_fall","meaningfulness",50,-0.434920634920635
12,"positive_change_full","meaningfulness",30,-0.00714285714285714
12,"positive_change_partial","meaningfulness",53,-0.134920634920635
12,"negative_change_full","meaningfulness",80,-0.142063492063492
12,"negative_change_partial","meaningfulness",80,0.136904761904762
12,"linear_rise_sharp_fall","meaningfulness",70,-0.480952380952381
12,"linear_rise_sharp_fall_exp_rise","meaningfulness",30,0.0353174603174603
13,"linear_rise","meaningfulness",100,0.398809523809524
13,"linear_fall","meaningfulness",82,-0.411111111111111
13,"linear_low","meaningfulness",0,-0.582142857142857
13,"linear_middle","meaningfulness",40,0.0607142857142857
13,"linear_high","meaningfulness",46,0.487698412698413
13,"exp_rise_convex","meaningfulness",77,0.178174603174603
13,"exp_fall_convex","meaningfulness",38,-0.403571428571429
13,"exp_rise_concave","meaningfulness",86,0.461904761904762
13,"exp_fall_concave","meaningfulness",45,-0.157142857142857
13,"sin_fr_full","meaningfulness",84,0.0531746031746032
13,"sin_fr_partial","meaningfulness",79,0.293650793650794
13,"sin_rf_full","meaningfulness",46,0.0293650793650794
13,"sin_rf_partial","meaningfulness",34,-0.201190476190476
13,"sin_rfr_full","meaningfulness",88,-0.0690476190476191
13,"sin_rfr_partial","meaningfulness",88,-0.0702380952380952
13,"sin_frf_full","meaningfulness",83,-0.231349206349206
13,"sin_frf_partial","meaningfulness",48,-0.0992063492063492
13,"sin_frfr","meaningfulness",93,-0.185714285714286
13,"sin_rfrf","meaningfulness",76,-0.284126984126984
13,"logistic_rise","meaningfulness",61,0.266666666666667
13,"logistic_fall","meaningfulness",81,-0.434920634920635
13,"positive_change_full","meaningfulness",82,-0.00714285714285714
13,"positive_change_partial","meaningfulness",86,-0.134920634920635
13,"negative_change_full","meaningfulness",44,-0.142063492063492
13,"negative_change_partial","meaningfulness",30,0.136904761904762
13,"linear_rise_sharp_fall","meaningfulness",14,-0.480952380952381
13,"linear_rise_sharp_fall_exp_rise","meaningfulness",88,0.0353174603174603
14,"linear_rise","meaningfulness",95,0.398809523809524
14,"linear_fall","meaningfulness",0,-0.411111111111111
14,"linear_low","meaningfulness",0,-0.582142857142857
14,"linear_middle","meaningfulness",50,0.0607142857142857
14,"linear_high","meaningfulness",100,0.487698412698413
14,"exp_rise_convex","meaningfulness",100,0.178174603174603
14,"exp_fall_convex","meaningfulness",0,-0.403571428571429
14,"exp_rise_concave","meaningfulness",100,0.461904761904762
14,"exp_fall_concave","meaningfulness",0,-0.157142857142857
14,"sin_fr_full","meaningfulness",95,0.0531746031746032
14,"sin_fr_partial","meaningfulness",95,0.293650793650794
14,"sin_rf_full","meaningfulness",0,0.0293650793650794
14,"sin_rf_partial","meaningfulness",0,-0.201190476190476
14,"sin_rfr_full","meaningfulness",50,-0.0690476190476191
14,"sin_rfr_partial","meaningfulness",85,-0.0702380952380952
14,"sin_frf_full","meaningfulness",0,-0.231349206349206
14,"sin_frf_partial","meaningfulness",20,-0.0992063492063492
